Profiling result from test run Test Main V1 exported at Wed Sep 28 15:46:54 CEST 2011;

time stamp [nano secs];event;power rate [mW];avg power rate [mW];avg power rate in interval [mW];
1316359276576545024;;44021;36383,20456078712;36949,12924161174;
1316359276677436160;;43653;36383,20456078712;36949,12924161174;
1316359276685309952;;41815;36383,20456078712;36949,12924161174;
1316359276794760960;;42399;36383,20456078712;36949,12924161174;
1316359276897598976;;45573;36383,20456078712;36949,12924161174;
1316359276998946816;;45573;36383,20456078712;36949,12924161174;
1316359277098799104;;46300;36383,20456078712;36949,12924161174;
1316359277201856000;;46263;36383,20456078712;36949,12924161174;
1316359277301583104;;47988;36383,20456078712;36949,12924161174;
1316359277402059008;;47988;36383,20456078712;36949,12924161174;
1316359277505527040;;45649;36383,20456078712;36949,12924161174;
1316359277604451840;;44521;36383,20456078712;36949,12924161174;
1316359277706893824;;41337;36383,20456078712;36949,12924161174;
1316359277812428032;;40040;36383,20456078712;36949,12924161174;
1316359277920523008;;39835;36383,20456078712;36949,12924161174;
1316359277931024128;;37726;36383,20456078712;36949,12924161174;
1316359278060892160;;35346;36383,20456078712;36949,12924161174;
1316359278068961024;;31860;36383,20456078712;36949,12924161174;
1316359278260779008;;31746;36383,20456078712;36949,12924161174;
1316359278451857920;;30957;36383,20456078712;36949,12924161174;
1316359278551172864;;31549;36383,20456078712;36949,12924161174;
1316359278650981888;;32417;36383,20456078712;36949,12924161174;
1316359278660564992;;33046;36383,20456078712;36949,12924161174;
1316359278765070080;;33457;36383,20456078712;36949,12924161174;
1316359278868712960;;33480;36383,20456078712;36949,12924161174;
1316359278968036864;;33502;36383,20456078712;36949,12924161174;
1316359279069890048;;33707;36383,20456078712;36949,12924161174;
1316359279169373952;;33893;36383,20456078712;36949,12924161174;
1316359279268408064;;34085;36383,20456078712;36949,12924161174;
1316359279368550912;;34336;36383,20456078712;36949,12924161174;
1316359279710557952;;34845;36383,20456078712;36949,12924161174;
1316359279856709888;;35097;36383,20456078712;36949,12924161174;
1316359279995969024;;35189;36383,20456078712;36949,12924161174;
1316359280111643136;;35170;36383,20456078712;36949,12924161174;
1316359280207724032;;35244;36383,20456078712;36949,12924161174;
1316359280301558016;;35496;36383,20456078712;36949,12924161174;
1316359280396730880;;35496;36383,20456078712;36949,12924161174;
1316359280495848960;;35368;36383,20456078712;36949,12924161174;
1316359280616899840;executed standUp #1;34262;36383,20456078712;34767,51593203727;
1316359280784702976;;35303;36383,20456078712;34767,51593203727;
1316359280944166912;;35285;36383,20456078712;34767,51593203727;
1316359280954543104;;34895;36383,20456078712;34767,51593203727;
1316359281099759104;;34895;36383,20456078712;34767,51593203727;
1316359281109647104;;34665;36383,20456078712;34767,51593203727;
1316359281123884800;;34743;36383,20456078712;34767,51593203727;
1316359281259486976;;34909;36383,20456078712;34767,51593203727;
1316359281389942784;;35000;36383,20456078712;34767,51593203727;
1316359281596962816;;39340;36383,20456078712;34767,51593203727;
1316359281726522880;;40860;36383,20456078712;34767,51593203727;
1316359281856993024;;40202;36383,20456078712;34767,51593203727;
1316359281977814016;;39789;36383,20456078712;34767,51593203727;
1316359282102009088;;39403;36383,20456078712;34767,51593203727;
1316359282237504000;;39766;36383,20456078712;34767,51593203727;
