Profiling result from test run Test profileMain exported at Thu Sep 29 08:09:53 CEST 2011;

time stamp [nano secs];event;power rate [mW];avg power rate [mW];avg power rate in interval [mW];
1316418481738697984;;48133;38119.11429788512;38964.63660500255;
1316418481781081856;;47526;38119.11429788512;38964.63660500255;
1316418481806710016;;47526;38119.11429788512;38964.63660500255;
1316418481830127872;;47037;38119.11429788512;38964.63660500255;
1316418481890001920;;46687;38119.11429788512;38964.63660500255;
1316418481913868800;;46406;38119.11429788512;38964.63660500255;
1316418481940766976;;44984;38119.11429788512;38964.63660500255;
1316418481966563072;;45846;38119.11429788512;38964.63660500255;
1316418481989080064;;45846;38119.11429788512;38964.63660500255;
1316418482014686976;;45963;38119.11429788512;38964.63660500255;
1316418482038850048;;46737;38119.11429788512;38964.63660500255;
1316418482065442048;;46641;38119.11429788512;38964.63660500255;
1316418482088787968;;46641;38119.11429788512;38964.63660500255;
1316418482097341184;;47570;38119.11429788512;38964.63660500255;
1316418482105846016;;48779;38119.11429788512;38964.63660500255;
1316418482130908928;;48691;38119.11429788512;38964.63660500255;
1316418482172813824;;47299;38119.11429788512;38964.63660500255;
1316418482231756800;;48413;38119.11429788512;38964.63660500255;
1316418482273325824;;47763;38119.11429788512;38964.63660500255;
1316418482298699008;;47809;38119.11429788512;38964.63660500255;
1316418482324340224;;47877;38119.11429788512;38964.63660500255;
1316418482368134144;;47243;38119.11429788512;38964.63660500255;
1316418483238073088;;45995;38119.11429788512;38964.63660500255;
1316418483265729024;;47266;38119.11429788512;38964.63660500255;
1316418483308030976;;47266;38119.11429788512;38964.63660500255;
1316418483333362176;;46318;38119.11429788512;38964.63660500255;
1316418483343034880;;46503;38119.11429788512;38964.63660500255;
1316418483366018048;;48353;38119.11429788512;38964.63660500255;
1316418483391247872;;51335;38119.11429788512;38964.63660500255;
1316418483415961856;;55797;38119.11429788512;38964.63660500255;
1316418483489057024;;59449;38119.11429788512;38964.63660500255;
1316418483534102016;;59449;38119.11429788512;38964.63660500255;
1316418483557089024;;59149;38119.11429788512;38964.63660500255;
1316418483586315008;;59065;38119.11429788512;38964.63660500255;
1316418483610199808;;56113;38119.11429788512;38964.63660500255;
1316418483634881024;;55975;38119.11429788512;38964.63660500255;
1316418483692190976;;58880;38119.11429788512;38964.63660500255;
1316418483718214144;;58880;38119.11429788512;38964.63660500255;
1316418483747024896;;61785;38119.11429788512;38964.63660500255;
1316418483771202048;;62432;38119.11429788512;38964.63660500255;
1316418483795983104;;63261;38119.11429788512;38964.63660500255;
1316418483804823040;;62547;38119.11429788512;38964.63660500255;
1316418483830359808;;62653;38119.11429788512;38964.63660500255;
1316418483857031168;;62999;38119.11429788512;38964.63660500255;
1316418483886689792;;61824;38119.11429788512;38964.63660500255;
1316418483910113024;;61524;38119.11429788512;38964.63660500255;
1316418483952198144;;61524;38119.11429788512;38964.63660500255;
1316418483977271040;;61270;38119.11429788512;38964.63660500255;
1316418483987014912;;60164;38119.11429788512;38964.63660500255;
1316418484010875904;;60164;38119.11429788512;38964.63660500255;
1316418484035276800;;57743;38119.11429788512;38964.63660500255;
1316418484062097152;;56037;38119.11429788512;38964.63660500255;
1316418484069912064;;55228;38119.11429788512;38964.63660500255;
1316418484095043840;;54080;38119.11429788512;38964.63660500255;
1316418484118779904;;53207;38119.11429788512;38964.63660500255;
1316418484147283200;;52725;38119.11429788512;38964.63660500255;
1316418484171276032;;49142;38119.11429788512;38964.63660500255;
1316418484195996928;;50933;38119.11429788512;38964.63660500255;
1316418484222291968;;49831;38119.11429788512;38964.63660500255;
1316418484297291008;;49752;38119.11429788512;38964.63660500255;
1316418484334238976;;49190;38119.11429788512;38964.63660500255;
1316418484423098112;;47266;38119.11429788512;38964.63660500255;
1316418484434114048;;46304;38119.11429788512;38964.63660500255;
1316418484470315008;;46418;38119.11429788512;38964.63660500255;
1316418484508327936;;47014;38119.11429788512;38964.63660500255;
1316418484546283008;;47220;38119.11429788512;38964.63660500255;
1316418484557346048;;46677;38119.11429788512;38964.63660500255;
1316418484593067008;;46195;38119.11429788512;38964.63660500255;
1316418484628175104;;46493;38119.11429788512;38964.63660500255;
1316418484664720128;;47203;38119.11429788512;38964.63660500255;
1316418484674546944;;48028;38119.11429788512;38964.63660500255;
1316418484713005056;;47891;38119.11429788512;38964.63660500255;
1316418484773344000;;48188;38119.11429788512;38964.63660500255;
1316418484811926016;;49246;38119.11429788512;38964.63660500255;
1316418484872129792;;49714;38119.11429788512;38964.63660500255;
1316418484909275136;;50469;38119.11429788512;38964.63660500255;
1316418484969764096;;49851;38119.11429788512;38964.63660500255;
1316418485009921024;;50171;38119.11429788512;38964.63660500255;
1316418485048756992;;51296;38119.11429788512;38964.63660500255;
1316418485085916160;;51296;38119.11429788512;38964.63660500255;
1316418485118676992;;51960;38119.11429788512;38964.63660500255;
1316418485133351168;;52692;38119.11429788512;38964.63660500255;
1316418485171650816;;52424;38119.11429788512;38964.63660500255;
1316418485183922176;;52424;38119.11429788512;38964.63660500255;
1316418485223308032;;52241;38119.11429788512;38964.63660500255;
1316418485255693056;;51424;38119.11429788512;38964.63660500255;
1316418485323555840;;51103;38119.11429788512;38964.63660500255;
1316418485333097984;;51355;38119.11429788512;38964.63660500255;
1316418485362587904;;52035;38119.11429788512;38964.63660500255;
1316418485405040128;;52035;38119.11429788512;38964.63660500255;
1316418485431118080;;55354;38119.11429788512;38964.63660500255;
1316418485463949056;;64142;38119.11429788512;38964.63660500255;
1316418485489432064;;64142;38119.11429788512;38964.63660500255;
1316418485514884096;;64142;38119.11429788512;38964.63660500255;
1316418485527012096;;71429;38119.11429788512;38964.63660500255;
1316418485551354880;;71429;38119.11429788512;38964.63660500255;
1316418485576822016;;71429;38119.11429788512;38964.63660500255;
1316418485602822912;;73338;38119.11429788512;38964.63660500255;
1316418485628236032;;73338;38119.11429788512;38964.63660500255;
1316418485651444992;;73338;38119.11429788512;38964.63660500255;
1316418485694104064;;73430;38119.11429788512;38964.63660500255;
1316418485718012928;;73430;38119.11429788512;38964.63660500255;
1316418485766170112;;73469;38119.11429788512;38964.63660500255;
1316418485791188992;;72555;38119.11429788512;38964.63660500255;
1316418485833007104;;71664;38119.11429788512;38964.63660500255;
1316418485857889024;;71555;38119.11429788512;38964.63660500255;
1316418485885085184;;72673;38119.11429788512;38964.63660500255;
1316418485909085952;;73699;38119.11429788512;38964.63660500255;
1316418485950233088;;68545;38119.11429788512;38964.63660500255;
1316418485975860992;;67633;38119.11429788512;38964.63660500255;
1316418486003266048;;67335;38119.11429788512;38964.63660500255;
1316418486030891008;;62872;38119.11429788512;38964.63660500255;
1316418486056761856;;58456;38119.11429788512;38964.63660500255;
1316418486066968064;;58456;38119.11429788512;38964.63660500255;
1316418486073810176;;56429;38119.11429788512;38964.63660500255;
1316418486098056960;;55268;38119.11429788512;38964.63660500255;
1316418486108210944;;54172;38119.11429788512;38964.63660500255;
1316418486115012864;;54172;38119.11429788512;38964.63660500255;
1316418486141975040;;54422;38119.11429788512;38964.63660500255;
1316418486165860864;;55673;38119.11429788512;38964.63660500255;
1316418486191036928;;55673;38119.11429788512;38964.63660500255;
1316418486215750912;;57651;38119.11429788512;38964.63660500255;
1316418486243354112;;57628;38119.11429788512;38964.63660500255;
1316418486269839104;;58333;38119.11429788512;38964.63660500255;
1316418486293127936;;58310;38119.11429788512;38964.63660500255;
1316418486336077056;;60763;38119.11429788512;38964.63660500255;
1316418486362606080;;60763;38119.11429788512;38964.63660500255;
1316418486386940928;;60354;38119.11429788512;38964.63660500255;
1316418486411719168;;60036;38119.11429788512;38964.63660500255;
1316418486421811968;;58764;38119.11429788512;38964.63660500255;
1316418486429369856;;58764;38119.11429788512;38964.63660500255;
1316418486452996096;;58560;38119.11429788512;38964.63660500255;
1316418486478880000;;57749;38119.11429788512;38964.63660500255;
1316418486505573888;;57749;38119.11429788512;38964.63660500255;
1316418486530164992;;56228;38119.11429788512;38964.63660500255;
1316418486554251008;;54843;38119.11429788512;38964.63660500255;
1316418486581342976;;53458;38119.11429788512;38964.63660500255;
1316418486606264064;;52913;38119.11429788512;38964.63660500255;
1316418486646322944;;52073;38119.11429788512;38964.63660500255;
1316418486671336960;;52073;38119.11429788512;38964.63660500255;
1316418486694802944;;51732;38119.11429788512;38964.63660500255;
1316418486723008000;;51331;38119.11429788512;38964.63660500255;
1316418486746902016;;51403;38119.11429788512;38964.63660500255;
1316418486772816896;;52039;38119.11429788512;38964.63660500255;
1316418486796946944;;52651;38119.11429788512;38964.63660500255;
1316418486825581056;;53082;38119.11429788512;38964.63660500255;
1316418486850206976;;53922;38119.11429788512;38964.63660500255;
1316418486857177088;;53922;38119.11429788512;38964.63660500255;
1316418486883263232;;53218;38119.11429788512;38964.63660500255;
1316418486909730816;;51698;38119.11429788512;38964.63660500255;
1316418486953940992;;49640;38119.11429788512;38964.63660500255;
1316418486994908160;;49640;38119.11429788512;38964.63660500255;
1316418487022084096;;46566;38119.11429788512;38964.63660500255;
1316418487046344960;;45704;38119.11429788512;38964.63660500255;
1316418487071296000;;44841;38119.11429788512;38964.63660500255;
1316418487094132992;;44841;38119.11429788512;38964.63660500255;
1316418487117940992;;44047;38119.11429788512;38964.63660500255;
1316418487144964096;;43525;38119.11429788512;38964.63660500255;
1316418487152717056;;42254;38119.11429788512;38964.63660500255;
1316418487162369024;;42163;38119.11429788512;38964.63660500255;
1316418487185810944;;43411;38119.11429788512;38964.63660500255;
1316418487193871872;;45363;38119.11429788512;38964.63660500255;
1316418487217108992;;45423;38119.11429788512;38964.63660500255;
1316418487243323136;;48287;38119.11429788512;38964.63660500255;
1316418487267354880;;53037;38119.11429788512;38964.63660500255;
1316418487292124160;;55628;38119.11429788512;38964.63660500255;
1316418487298685952;;55628;38119.11429788512;38964.63660500255;
1316418487326241024;;56924;38119.11429788512;38964.63660500255;
1316418487351064064;;58196;38119.11429788512;38964.63660500255;
1316418487375981056;;58242;38119.11429788512;38964.63660500255;
1316418487398258944;;57605;38119.11429788512;38964.63660500255;
1316418487426146048;;57606;38119.11429788512;38964.63660500255;
1316418487450674176;;57325;38119.11429788512;38964.63660500255;
1316418487475792896;;57325;38119.11429788512;38964.63660500255;
1316418487498679040;;57325;38119.11429788512;38964.63660500255;
1316418487526891008;;57143;38119.11429788512;38964.63660500255;
1316418487550497024;;56688;38119.11429788512;38964.63660500255;
1316418487576115968;;56801;38119.11429788512;38964.63660500255;
1316418487585329152;;57735;38119.11429788512;38964.63660500255;
1316418487609240064;;58122;38119.11429788512;38964.63660500255;
1316418487651187968;;58068;38119.11429788512;38964.63660500255;
1316418487708865792;;56726;38119.11429788512;38964.63660500255;
1316418487717053952;;56726;38119.11429788512;38964.63660500255;
1316418487757692160;;56726;38119.11429788512;38964.63660500255;
1316418487785249024;;54248;38119.11429788512;38964.63660500255;
1316418487812154112;;53861;38119.11429788512;38964.63660500255;
1316418487855042048;;52838;38119.11429788512;38964.63660500255;
1316418487865280000;;52042;38119.11429788512;38964.63660500255;
1316418487909329920;;51724;38119.11429788512;38964.63660500255;
1316418487936758016;;51016;38119.11429788512;38964.63660500255;
1316418487963259904;;51658;38119.11429788512;38964.63660500255;
1316418487988094208;;50907;38119.11429788512;38964.63660500255;
1316418488010885888;;50817;38119.11429788512;38964.63660500255;
1316418488021640960;;50339;38119.11429788512;38964.63660500255;
1316418488063059200;;50339;38119.11429788512;38964.63660500255;
1316418488087826944;;50157;38119.11429788512;38964.63660500255;
1316418488111987200;;48634;38119.11429788512;38964.63660500255;
1316418488172209152;;48634;38119.11429788512;38964.63660500255;
1316418488214194176;;47839;38119.11429788512;38964.63660500255;
1316418488256575232;;47657;38119.11429788512;38964.63660500255;
1316418488282129920;;47663;38119.11429788512;38964.63660500255;
1316418488290172160;;45685;38119.11429788512;38964.63660500255;
1316418488331862016;;44799;38119.11429788512;38964.63660500255;
1316418488372140800;;44753;38119.11429788512;38964.63660500255;
1316418488398950144;;44753;38119.11429788512;38964.63660500255;
1316418488425179904;;44016;38119.11429788512;38964.63660500255;
1316418488449330176;;43105;38119.11429788512;38964.63660500255;
1316418488472724992;;43105;38119.11429788512;38964.63660500255;
1316418488483963904;;43014;38119.11429788512;38964.63660500255;
1316418488508958208;;42855;38119.11429788512;38964.63660500255;
1316418488516082944;;42764;38119.11429788512;38964.63660500255;
1316418488542931968;;42194;38119.11429788512;38964.63660500255;
1316418488568670976;;41580;38119.11429788512;38964.63660500255;
1316418488592078848;;41585;38119.11429788512;38964.63660500255;
1316418488602000896;;41540;38119.11429788512;38964.63660500255;
1316418488609760000;;41904;38119.11429788512;38964.63660500255;
1316418488633931008;;44477;38119.11429788512;38964.63660500255;
1316418488642807040;;44870;38119.11429788512;38964.63660500255;
1316418488671969024;;44870;38119.11429788512;38964.63660500255;
1316418488694166016;;46099;38119.11429788512;38964.63660500255;
1316418488752166912;;46828;38119.11429788512;38964.63660500255;
1316418488775927040;;46828;38119.11429788512;38964.63660500255;
1316418488802851072;;46910;38119.11429788512;38964.63660500255;
1316418488829730048;;46979;38119.11429788512;38964.63660500255;
1316418488857781760;;48095;38119.11429788512;38964.63660500255;
1316418488883313920;;48574;38119.11429788512;38964.63660500255;
1316418488907668224;;47567;38119.11429788512;38964.63660500255;
1316418488932809216;;48069;38119.11429788512;38964.63660500255;
1316418488955869952;;48069;38119.11429788512;38964.63660500255;
1316418488982877952;;47841;38119.11429788512;38964.63660500255;
1316418488989725184;;47860;38119.11429788512;38964.63660500255;
1316418489014358016;;47860;38119.11429788512;38964.63660500255;
1316418489024192000;;47198;38119.11429788512;38964.63660500255;
1316418489048541952;;46811;38119.11429788512;38964.63660500255;
1316418489072901888;;46902;38119.11429788512;38964.63660500255;
1316418489095756032;;46902;38119.11429788512;38964.63660500255;
1316418489105593088;;47472;38119.11429788512;38964.63660500255;
1316418489112838912;;46879;38119.11429788512;38964.63660500255;
1316418489136297984;;46035;38119.11429788512;38964.63660500255;
1316418489145744128;;45470;38119.11429788512;38964.63660500255;
1316418489170813952;;46359;38119.11429788512;38964.63660500255;
1316418489193792000;;46359;38119.11429788512;38964.63660500255;
1316418489203607040;;45698;38119.11429788512;38964.63660500255;
1316418489227009024;;45470;38119.11429788512;38964.63660500255;
1316418489251117824;;44307;38119.11429788512;38964.63660500255;
1316418489291161088;;46200;38119.11429788512;38964.63660500255;
1316418489315258880;;46200;38119.11429788512;38964.63660500255;
1316418489355990784;;44011;38119.11429788512;38964.63660500255;
1316418489383706112;;43076;38119.11429788512;38964.63660500255;
1316418489390605824;;42826;38119.11429788512;38964.63660500255;
1316418489414220032;;41086;38119.11429788512;38964.63660500255;
1316418489423938048;;41086;38119.11429788512;38964.63660500255;
1316418489447891968;;39285;38119.11429788512;38964.63660500255;
1316418489456208896;;39285;38119.11429788512;38964.63660500255;
1316418489481591040;;38623;38119.11429788512;38964.63660500255;
1316418489521960960;;37346;38119.11429788512;38964.63660500255;
1316418489546839040;;37346;38119.11429788512;38964.63660500255;
1316418489554279168;;37415;38119.11429788512;38964.63660500255;
1316418489578110976;;36115;38119.11429788512;38964.63660500255;
1316418489587333888;;35558;38119.11429788512;38964.63660500255;
1316418489628939008;;34792;38119.11429788512;38964.63660500255;
1316418489652355840;;34792;38119.11429788512;38964.63660500255;
1316418489661273856;;33309;38119.11429788512;38964.63660500255;
1316418489688199168;;33309;38119.11429788512;38964.63660500255;
1316418489710867968;;32601;38119.11429788512;38964.63660500255;
1316418489735851008;;31278;38119.11429788512;38964.63660500255;
1316418489782790912;;31278;38119.11429788512;38964.63660500255;
1316418489832791040;;31049;38119.11429788512;38964.63660500255;
1316418489861124096;;31032;38119.11429788512;38964.63660500255;
1316418489885175040;;31375;38119.11429788512;38964.63660500255;
1316418489942212096;;31408;38119.11429788512;38964.63660500255;
1316418489967335936;;31682;38119.11429788512;38964.63660500255;
1316418489973916928;;32048;38119.11429788512;38964.63660500255;
1316418490001483008;;32208;38119.11429788512;38964.63660500255;
1316418490024764928;;32345;38119.11429788512;38964.63660500255;
1316418490031904000;;32666;38119.11429788512;38964.63660500255;
